Date,Open,High,Low,Close,Adj Close,Volume
"Nov 30, 2023",4554.87,4569.89,4537.24,4567.8,4567.8,5399300000
"Nov 29, 2023",4571.84,4587.64,4547.15,4550.58,4550.58,4418760000
"Nov 28, 2023",4545.55,4568.14,4540.51,4554.89,4554.89,3586240000
"Nov 27, 2023",4554.86,4560.52,4546.32,4550.43,4550.43,3403990000
"Nov 24, 2023",4555.84,4560.31,4552.8,4559.34,4559.34,1639500000
"Nov 22, 2023",4553.04,4568.43,4545.05,4556.62,4556.62,3042810000
"Nov 21, 2023",4538.77,4542.14,4525.51,4538.19,4538.19,3511080000
"Nov 20, 2023",4511.7,4557.11,4510.36,4547.38,4547.38,3644790000
"Nov 17, 2023",4509.55,4520.12,4499.66,4514.02,4514.02,3777240000
"Nov 16, 2023",4497.08,4511.99,4487.83,4508.24,4508.24,3964520000
"Nov 15, 2023",4505.3,4521.17,4495.31,4502.88,4502.88,4347170000
"Nov 14, 2023",4458.97,4508.67,4458.97,4495.7,4495.7,4700350000
"Nov 13, 2023",4406.66,4421.76,4393.82,4411.55,4411.55,3326240000
"Nov 10, 2023",4364.15,4418.03,4353.34,4415.24,4415.24,3665080000
"Nov 9, 2023",4391.41,4393.4,4343.94,4347.35,4347.35,3900780000
"Nov 8, 2023",4384.37,4391.2,4359.76,4382.78,4382.78,3729510000
"Nov 7, 2023",4366.21,4386.26,4355.41,4378.38,4378.38,3791230000
"Nov 6, 2023",4364.27,4372.21,4347.53,4365.98,4365.98,3656340000
"Nov 3, 2023",4334.23,4373.62,4334.23,4358.34,4358.34,4570960000
"Nov 2, 2023",4268.26,4319.72,4268.26,4317.78,4317.78,4669780000
"Nov 1, 2023",4201.27,4245.64,4197.74,4237.86,4237.86,4224900000
"Oct 31, 2023",4171.33,4195.55,4153.12,4193.8,4193.8,4249470000
"Oct 30, 2023",4139.39,4177.47,4132.94,4166.82,4166.82,3911140000
"Oct 27, 2023",4152.93,4156.7,4103.78,4117.37,4117.37,4019500000
"Oct 26, 2023",4175.99,4183.6,4127.9,4137.23,4137.23,4277640000
"Oct 25, 2023",4232.42,4232.42,4181.42,4186.77,4186.77,3869370000
"Oct 24, 2023",4235.79,4259.38,4219.43,4247.68,4247.68,3821820000
"Oct 23, 2023",4210.4,4255.84,4189.22,4217.04,4217.04,3776100000
"Oct 20, 2023",4273.85,4276.56,4223.03,4224.16,4224.16,4004030000
"Oct 19, 2023",4321.36,4339.54,4269.69,4278,4278,3969730000
"Oct 18, 2023",4357.35,4364.2,4303.84,4314.6,4314.6,3686030000
"Oct 17, 2023",4345.23,4393.57,4337.54,4373.2,4373.2,3794850000
"Oct 16, 2023",4342.37,4383.33,4342.37,4373.63,4373.63,3409960000
"Oct 13, 2023",4360.49,4377.1,4311.97,4327.78,4327.78,3566560000
"Oct 12, 2023",4380.94,4385.85,4325.43,4349.61,4349.61,3713140000
"Oct 11, 2023",4366.59,4378.64,4345.34,4376.95,4376.95,3601660000
"Oct 10, 2023",4339.75,4385.46,4339.64,4358.24,4358.24,3520240000
"Oct 9, 2023",4289.02,4341.73,4283.79,4335.66,4335.66,3174630000
"Oct 6, 2023",4234.79,4324.1,4219.55,4308.5,4308.5,3902030000
"Oct 5, 2023",4259.31,4267.13,4225.91,4258.19,4258.19,3581470000
"Oct 4, 2023",4233.83,4268.5,4220.48,4263.75,4263.75,3777600000
"Oct 3, 2023",4269.75,4281.15,4216.45,4229.45,4229.45,3953830000
"Oct 2, 2023",4284.52,4300.58,4260.21,4288.39,4288.39,3938660000
"Sep 29, 2023",4328.18,4333.15,4274.86,4288.05,4288.05,3865960000
"Sep 28, 2023",4269.65,4317.27,4264.38,4299.7,4299.7,3846230000
"Sep 27, 2023",4282.63,4292.07,4238.63,4274.51,4274.51,3875880000
"Sep 26, 2023",4312.88,4313.01,4265.98,4273.53,4273.53,3472340000
"Sep 25, 2023",4310.62,4338.51,4302.7,4337.44,4337.44,3195650000
"Sep 22, 2023",4341.74,4357.4,4316.49,4320.06,4320.06,3349570000
"Sep 21, 2023",4374.36,4375.7,4329.17,4330,4330,3662340000
"Sep 20, 2023",4452.81,4461.03,4401.38,4402.2,4402.2,3308450000
"Sep 19, 2023",4445.41,4449.85,4416.61,4443.95,4443.95,3614880000
"Sep 18, 2023",4445.13,4466.36,4442.11,4453.53,4453.53,3161230000
"Sep 15, 2023",4497.98,4497.98,4447.21,4450.32,4450.32,6932230000
"Sep 14, 2023",4487.78,4511.99,4478.69,4505.1,4505.1,3648720000
"Sep 13, 2023",4462.65,4479.39,4453.52,4467.44,4467.44,3529430000
"Sep 12, 2023",4473.27,4487.11,4456.83,4461.9,4461.9,3435740000
"Sep 11, 2023",4480.98,4490.77,4467.89,4487.46,4487.46,3369920000
"Sep 8, 2023",4451.3,4473.53,4448.38,4457.49,4457.49,3259290000
"Sep 7, 2023",4434.55,4457.81,4430.46,4451.14,4451.14,3763760000
"Sep 6, 2023",4490.35,4490.35,4442.38,4465.48,4465.48,3418850000
"Sep 5, 2023",4510.06,4514.29,4496.01,4496.83,4496.83,3526250000
"Sep 1, 2023",4530.6,4541.25,4501.35,4515.77,4515.77,3246260000
"Aug 31, 2023",4517.01,4532.26,4507.39,4507.66,4507.66,3946360000
"Aug 30, 2023",4500.34,4521.65,4493.59,4514.87,4514.87,3064110000
"Aug 29, 2023",4432.75,4500.14,4431.68,4497.63,4497.63,3354820000
"Aug 28, 2023",4426.03,4439.56,4414.98,4433.31,4433.31,2957230000
"Aug 25, 2023",4389.38,4418.46,4356.29,4405.71,4405.71,3296180000
"Aug 24, 2023",4455.16,4458.3,4375.55,4376.31,4376.31,3723470000
"Aug 23, 2023",4396.44,4443.18,4396.44,4436.01,4436.01,3837270000
"Aug 22, 2023",4415.33,4418.59,4382.77,4387.55,4387.55,3522760000
"Aug 21, 2023",4380.28,4407.55,4360.3,4399.77,4399.77,3726850000
"Aug 18, 2023",4344.88,4381.82,4335.31,4369.71,4369.71,3940400000
"Aug 17, 2023",4416.32,4421.17,4364.83,4370.36,4370.36,3943700000
"Aug 16, 2023",4433.79,4449.95,4403.55,4404.33,4404.33,3753910000
"Aug 15, 2023",4478.87,4478.87,4432.19,4437.86,4437.86,3832250000
"Aug 14, 2023",4458.13,4490.33,4453.44,4489.72,4489.72,3896410000
"Aug 11, 2023",4450.69,4476.23,4443.98,4464.05,4464.05,3753290000
"Aug 10, 2023",4487.16,4527.37,4457.92,4468.83,4468.83,4504370000
"Aug 9, 2023",4501.57,4502.44,4461.33,4467.71,4467.71,3803100000
"Aug 8, 2023",4498.03,4503.31,4464.39,4499.38,4499.38,3884910000
"Aug 7, 2023",4491.58,4519.84,4491.15,4518.44,4518.44,3493920000
"Aug 4, 2023",4513.96,4540.34,4474.55,4478.03,4478.03,4143310000
"Aug 3, 2023",4494.27,4519.49,4485.54,4501.89,4501.89,4149120000
"Aug 2, 2023",4550.93,4550.93,4505.75,4513.39,4513.39,4270710000
"Aug 1, 2023",4578.83,4584.62,4567.53,4576.73,4576.73,4042370000
"Jul 31, 2023",4584.82,4594.22,4573.14,4588.96,4588.96,4503600000
"Jul 28, 2023",4565.75,4590.16,4564.01,4582.23,4582.23,3981010000
"Jul 27, 2023",4598.26,4607.07,4528.56,4537.41,4537.41,4553210000
"Jul 26, 2023",4558.96,4582.47,4547.58,4566.75,4566.75,3990290000
"Jul 25, 2023",4555.19,4580.62,4552.42,4567.46,4567.46,3812470000
"Jul 24, 2023",4543.39,4563.41,4541.29,4554.64,4554.64,3856250000
"Jul 21, 2023",4550.16,4555,4535.79,4536.34,4536.34,3570190000
"Jul 20, 2023",4554.38,4564.74,4527.56,4534.87,4534.87,3761770000
"Jul 19, 2023",4563.87,4578.43,4557.48,4565.72,4565.72,4115670000
"Jul 18, 2023",4521.78,4562.3,4514.59,4554.98,4554.98,4090010000
"Jul 17, 2023",4508.86,4532.85,4504.9,4522.79,4522.79,3538240000
"Jul 14, 2023",4514.61,4527.76,4499.56,4505.42,4505.42,3647450000
"Jul 13, 2023",4491.5,4517.38,4489.36,4510.04,4510.04,3839530000
"Jul 12, 2023",4467.69,4488.34,4463.23,4472.16,4472.16,3920290000
"Jul 11, 2023",4415.55,4443.64,4408.46,4439.26,4439.26,3624220000
"Jul 10, 2023",4394.23,4412.6,4389.92,4409.53,4409.53,3429600000
"Jul 7, 2023",4404.54,4440.39,4397.4,4398.95,4398.95,3630480000
"Jul 6, 2023",4422.62,4422.62,4385.05,4411.59,4411.59,3682020000
"Jul 5, 2023",4442.04,4454.06,4436.61,4446.82,4446.82,3482620000
"Jul 3, 2023",4450.48,4456.46,4442.29,4455.59,4455.59,2034280000
"Jun 30, 2023",4422.44,4458.48,4422.44,4450.38,4450.38,3923450000
"Jun 29, 2023",4374.94,4398.39,4371.97,4396.44,4396.44,3696660000
"Jun 28, 2023",4367.48,4390.35,4360.22,4376.86,4376.86,3739330000
"Jun 27, 2023",4337.36,4384.42,4335,4378.41,4378.41,3573500000
"Jun 26, 2023",4344.84,4362.06,4328.08,4328.82,4328.82,3415030000
"Jun 23, 2023",4354.17,4366.55,4341.34,4348.33,4348.33,6053620000
"Jun 22, 2023",4355.4,4382.25,4351.82,4381.89,4381.89,3511000000
"Jun 21, 2023",4380.01,4386.22,4360.14,4365.69,4365.69,3709330000
"Jun 20, 2023",4396.11,4400.15,4367.19,4388.71,4388.71,4055790000
"Jun 16, 2023",4440.95,4448.47,4407.44,4409.59,4409.59,6848600000
"Jun 15, 2023",4365.33,4439.2,4362.6,4425.84,4425.84,4176690000
"Jun 14, 2023",4366.29,4391.82,4337.85,4372.59,4372.59,4252110000
"Jun 13, 2023",4352.61,4375.37,4349.31,4369.01,4369.01,4275400000
"Jun 12, 2023",4308.32,4340.13,4304.37,4338.93,4338.93,3945670000
"Jun 9, 2023",4304.88,4322.62,4291.7,4298.86,4298.86,3786510000
"Jun 8, 2023",4268.69,4298.01,4261.07,4293.93,4293.93,3826740000
"Jun 7, 2023",4285.47,4299.19,4263.96,4267.52,4267.52,4537800000
"Jun 6, 2023",4271.34,4288.33,4263.09,4283.85,4283.85,3996560000
"Jun 5, 2023",4282.99,4299.28,4266.82,4273.79,4273.79,3813290000
"Jun 2, 2023",4241.01,4290.67,4241.01,4282.37,4282.37,4454200000
"Jun 1, 2023",4183.03,4232.43,4171.64,4221.02,4221.02,4391860000
"May 31, 2023",4190.74,4195.44,4166.15,4179.83,4179.83,5980670000
"May 30, 2023",4226.71,4231.1,4192.18,4205.52,4205.52,4228510000
"May 26, 2023",4156.16,4212.87,4156.16,4205.45,4205.45,3715460000
"May 25, 2023",4155.71,4165.74,4129.73,4151.28,4151.28,4147760000
"May 24, 2023",4132.96,4132.96,4103.98,4115.24,4115.24,3739160000
"May 23, 2023",4176.8,4185.68,4142.54,4145.58,4145.58,4155320000
"May 22, 2023",4190.78,4209.22,4179.68,4192.63,4192.63,3728520000
"May 19, 2023",4204.15,4212.91,4180.2,4191.98,4191.98,4041900000
"May 18, 2023",4157.68,4202.2,4153.5,4198.05,4198.05,3980500000
"May 17, 2023",4122.85,4164.67,4113.62,4158.77,4158.77,4039080000
"May 16, 2023",4127.95,4135.54,4109.86,4109.9,4109.9,3654200000
"May 15, 2023",4126.65,4141.25,4110.27,4136.28,4136.28,3562170000
"May 12, 2023",4138.54,4143.74,4099.12,4124.08,4124.08,3533740000
"May 11, 2023",4132.24,4132.8,4109.29,4130.62,4130.62,3752900000
"May 10, 2023",4143.74,4154.28,4098.92,4137.64,4137.64,4057160000
"May 9, 2023",4124.25,4130.35,4116.65,4119.17,4119.17,3810140000
"May 8, 2023",4136.98,4142.3,4123.81,4138.12,4138.12,3641640000
"May 5, 2023",4084.73,4147.02,4084.73,4136.25,4136.25,4186270000
"May 4, 2023",4082.55,4082.61,4048.28,4061.22,4061.22,4920090000
"May 3, 2023",4122.25,4148.3,4088.86,4090.75,4090.75,4246510000
"May 2, 2023",4164.1,4164.1,4089.72,4119.58,4119.58,4486130000
"May 1, 2023",4166.79,4186.92,4164.12,4167.87,4167.87,3321370000
"Apr 28, 2023",4129.63,4170.06,4127.18,4169.48,4169.48,4087800000
"Apr 27, 2023",4075.29,4138.24,4075.29,4135.35,4135.35,3750550000
"Apr 26, 2023",4087.78,4089.67,4049.35,4055.99,4055.99,3837030000
"Apr 25, 2023",4126.43,4126.43,4071.38,4071.63,4071.63,3978640000
"Apr 24, 2023",4132.07,4142.41,4117.77,4137.04,4137.04,3290940000
"Apr 21, 2023",4132.14,4138.02,4113.86,4133.52,4133.52,3611750000
"Apr 20, 2023",4130.48,4148.57,4114.57,4129.79,4129.79,3772080000
"Apr 19, 2023",4139.33,4162.57,4134.49,4154.52,4154.52,3572560000
"Apr 18, 2023",4164.26,4169.48,4140.36,4154.87,4154.87,3536640000
"Apr 17, 2023",4137.17,4151.72,4123.18,4151.32,4151.32,3611180000
"Apr 14, 2023",4140.11,4163.19,4113.2,4137.64,4137.64,3575690000
"Apr 13, 2023",4100.04,4150.26,4099.4,4146.22,4146.22,3596590000
"Apr 12, 2023",4121.72,4134.37,4086.94,4091.95,4091.95,3633120000
"Apr 11, 2023",4110.29,4124.26,4102.61,4108.94,4108.94,3665830000
"Apr 10, 2023",4085.2,4109.5,4072.55,4109.11,4109.11,3423650000
"Apr 6, 2023",4081.15,4107.32,4069.84,4105.02,4105.02,3486690000
"Apr 5, 2023",4094.5,4099.69,4072.56,4090.38,4090.38,3968020000
"Apr 4, 2023",4128.03,4133.13,4086.87,4100.6,4100.6,4227800000
"Apr 3, 2023",4102.2,4127.66,4098.79,4124.51,4124.51,4234700000
"Mar 31, 2023",4056.18,4110.75,4056.18,4109.31,4109.31,4525120000
"Mar 30, 2023",4046.74,4057.85,4032.1,4050.83,4050.83,3930860000
"Mar 29, 2023",3999.53,4030.59,3999.53,4027.81,4027.81,4145250000
"Mar 28, 2023",3974.13,3979.2,3951.53,3971.27,3971.27,4014600000
"Mar 27, 2023",3982.93,4003.83,3970.49,3977.53,3977.53,4233540000
"Mar 24, 2023",3939.21,3972.74,3909.16,3970.99,3970.99,4583970000
"Mar 23, 2023",3959.21,4007.66,3919.05,3948.72,3948.72,4991600000
"Mar 22, 2023",4002.04,4039.49,3936.17,3936.97,3936.97,4533010000
"Mar 21, 2023",3975.89,4009.08,3971.19,4002.87,4002.87,4920240000
"Mar 20, 2023",3917.47,3956.62,3916.89,3951.57,3951.57,5347140000
"Mar 17, 2023",3958.69,3958.91,3901.27,3916.64,3916.64,9354280000
"Mar 16, 2023",3878.93,3964.46,3864.11,3960.28,3960.28,5695790000
"Mar 15, 2023",3876.74,3894.26,3838.24,3891.93,3891.93,6594010000
"Mar 14, 2023",3894.01,3937.29,3873.63,3919.29,3919.29,5665870000
"Mar 13, 2023",3835.12,3905.05,3808.86,3855.76,3855.76,6558020000
"Mar 10, 2023",3912.77,3934.05,3846.32,3861.59,3861.59,5518190000
"Mar 9, 2023",3998.66,4017.81,3908.7,3918.32,3918.32,4445260000
"Mar 8, 2023",3987.55,4000.41,3969.76,3992.01,3992.01,3535570000
"Mar 7, 2023",4048.26,4050,3980.31,3986.37,3986.37,3922500000
"Mar 6, 2023",4055.15,4078.49,4044.61,4048.42,4048.42,4000870000
"Mar 3, 2023",3998.02,4048.29,3995.17,4045.64,4045.64,4084730000
"Mar 2, 2023",3938.68,3990.84,3928.16,3981.35,3981.35,4244900000
"Mar 1, 2023",3963.34,3971.73,3939.05,3951.39,3951.39,4249480000
"Feb 28, 2023",3977.19,3997.5,3968.98,3970.15,3970.15,5043400000
"Feb 27, 2023",3992.36,4018.05,3973.55,3982.24,3982.24,3836950000
"Feb 24, 2023",3973.24,3978.25,3943.08,3970.04,3970.04,3877700000
"Feb 23, 2023",4018.6,4028.3,3969.19,4012.32,4012.32,3952940000
"Feb 22, 2023",4001.83,4017.37,3976.9,3991.05,3991.05,4079320000
"Feb 21, 2023",4052.35,4052.35,3995.19,3997.34,3997.34,4121590000
"Feb 17, 2023",4077.39,4081.51,4047.95,4079.09,4079.09,4045480000
"Feb 16, 2023",4114.75,4136.54,4089.49,4090.41,4090.41,4143660000
"Feb 15, 2023",4119.5,4148.11,4103.98,4147.6,4147.6,4075980000
"Feb 14, 2023",4126.7,4159.77,4095.01,4136.13,4136.13,3929200000
"Feb 13, 2023",4096.62,4138.9,4092.67,4137.29,4137.29,3448620000
"Feb 10, 2023",4068.92,4094.36,4060.79,4090.46,4090.46,3891520000
"Feb 9, 2023",4144.25,4156.23,4069.67,4081.5,4081.5,4270200000
"Feb 8, 2023",4153.47,4156.85,4111.67,4117.86,4117.86,4029820000
"Feb 7, 2023",4105.35,4176.54,4088.39,4164,4164,4355860000
"Feb 6, 2023",4119.57,4124.63,4093.38,4111.08,4111.08,4114240000
"Feb 3, 2023",4136.69,4182.36,4123.36,4136.48,4136.48,4694510000
"Feb 2, 2023",4158.68,4195.44,4141.88,4179.76,4179.76,5624360000
"Feb 1, 2023",4070.07,4148.95,4037.2,4119.21,4119.21,4856930000
"Jan 31, 2023",4020.85,4077.16,4020.44,4076.6,4076.6,4679320000
"Jan 30, 2023",4049.27,4063.85,4015.55,4017.77,4017.77,3802000000
"Jan 27, 2023",4053.72,4094.21,4048.7,4070.56,4070.56,3907760000
"Jan 26, 2023",4036.08,4061.57,4013.29,4060.43,4060.43,3809590000
"Jan 25, 2023",3982.71,4019.55,3949.06,4016.22,4016.22,3724020000
"Jan 24, 2023",4001.74,4023.92,3989.79,4016.95,4016.95,3320430000
"Jan 23, 2023",3978.14,4039.31,3971.64,4019.81,4019.81,3945210000
"Jan 20, 2023",3909.04,3972.96,3897.86,3972.61,3972.61,4013360000
"Jan 19, 2023",3911.84,3922.94,3885.54,3898.85,3898.85,3991500000
"Jan 18, 2023",4002.25,4014.16,3926.59,3928.86,3928.86,4298710000
"Jan 17, 2023",3999.28,4015.39,3984.57,3990.97,3990.97,4235560000
"Jan 13, 2023",3960.6,4003.95,3947.67,3999.09,3999.09,3939700000
"Jan 12, 2023",3977.57,3997.76,3937.56,3983.17,3983.17,4440260000
"Jan 11, 2023",3932.35,3970.07,3928.54,3969.61,3969.61,4303360000
"Jan 10, 2023",3888.57,3919.83,3877.29,3919.25,3919.25,3851030000
"Jan 9, 2023",3910.82,3950.57,3890.42,3892.09,3892.09,4311770000
"Jan 6, 2023",3823.37,3906.19,3809.56,3895.08,3895.08,3923560000
"Jan 5, 2023",3839.74,3839.74,3802.42,3808.1,3808.1,3893450000
"Jan 4, 2023",3840.36,3873.16,3815.77,3852.97,3852.97,4414080000
"Jan 3, 2023",3853.29,3878.46,3794.33,3824.14,3824.14,3959140000
"Dec 30, 2022",3829.06,3839.85,3800.34,3839.5,3839.5,2979870000
"Dec 29, 2022",3805.45,3858.19,3805.45,3849.28,3849.28,3003680000
"Dec 28, 2022",3829.56,3848.32,3780.78,3783.22,3783.22,3083520000
"Dec 27, 2022",3843.34,3846.65,3813.22,3829.25,3829.25,3030300000
"Dec 23, 2022",3815.11,3845.8,3797.01,3844.82,3844.82,2819280000
"Dec 22, 2022",3853.26,3853.26,3764.49,3822.39,3822.39,3956950000
"Dec 21, 2022",3839.49,3889.82,3839.49,3878.44,3878.44,3775200000
"Dec 20, 2022",3810.47,3838.24,3795.62,3821.62,3821.62,3985370000
"Dec 19, 2022",3853.79,3854.86,3800.04,3817.66,3817.66,3969610000
"Dec 16, 2022",3890.91,3890.91,3827.91,3852.36,3852.36,7493660000
"Dec 15, 2022",3958.37,3958.37,3879.45,3895.75,3895.75,4493900000
"Dec 14, 2022",4015.54,4053.76,3965.65,3995.32,3995.32,4472340000
"Dec 13, 2022",4069.38,4100.96,3993.03,4019.65,4019.65,5079360000
"Dec 12, 2022",3939.29,3990.71,3935.3,3990.56,3990.56,3904130000
"Dec 9, 2022",3954.17,3977.02,3933.04,3934.38,3934.38,3888260000
"Dec 8, 2022",3947.79,3974.19,3935.83,3963.51,3963.51,4006900000
"Dec 7, 2022",3933.28,3957.57,3922.68,3933.92,3933.92,4118050000
"Dec 6, 2022",3996.63,4001.51,3918.39,3941.26,3941.26,4368380000
"Dec 5, 2022",4052.02,4052.45,3984.49,3998.84,3998.84,4280820000
"Dec 2, 2022",4040.17,4080.48,4026.63,4071.7,4071.7,4012620000
"Dec 1, 2022",4087.14,4100.51,4050.87,4076.57,4076.57,4527130000
"Nov 30, 2022",3957.18,4080.11,3938.58,4080.11,4080.11,6579360000
"Nov 29, 2022",3964.19,3976.77,3937.65,3957.63,3957.63,3546040000
"Nov 28, 2022",4005.36,4012.27,3955.77,3963.94,3963.94,3615430000
"Nov 25, 2022",4023.34,4034.02,4020.76,4026.12,4026.12,1706460000
"Nov 23, 2022",4000.3,4033.78,3998.66,4027.26,4027.26,3279720000
"Nov 22, 2022",3965.51,4005.88,3956.88,4003.58,4003.58,3887990000
"Nov 21, 2022",3956.23,3962,3933.34,3949.94,3949.94,3850690000
"Nov 18, 2022",3966.39,3979.89,3935.98,3965.34,3965.34,4037360000
"Nov 17, 2022",3919.26,3954.33,3906.54,3946.56,3946.56,4051780000
"Nov 16, 2022",3976.82,3983.09,3954.34,3958.79,3958.79,4165320000
"Nov 15, 2022",4006.41,4028.84,3953.17,3991.73,3991.73,5015310000
"Nov 14, 2022",3977.97,4008.97,3956.4,3957.25,3957.25,4561930000
"Nov 11, 2022",3963.72,4001.48,3944.82,3992.93,3992.93,5593310000
"Nov 10, 2022",3859.89,3958.33,3859.89,3956.37,3956.37,5781260000
"Nov 9, 2022",3810.94,3818.2,3744.22,3748.57,3748.57,4645010000
"Nov 8, 2022",3817.02,3859.4,3786.28,3828.11,3828.11,4607640000
"Nov 7, 2022",3780.71,3813.95,3764.7,3806.8,3806.8,4341620000
"Nov 4, 2022",3766.98,3796.34,3708.84,3770.55,3770.55,5400180000
"Nov 3, 2022",3733.25,3750.59,3698.15,3719.89,3719.89,4625290000
"Nov 2, 2022",3852.9,3894.44,3758.68,3759.69,3759.69,4899000000
"Nov 1, 2022",3901.79,3911.79,3843.8,3856.1,3856.1,4481210000
"Oct 31, 2022",3881.85,3893.73,3863.18,3871.98,3871.98,4820620000
"Oct 28, 2022",3808.26,3905.42,3808.26,3901.06,3901.06,4459410000
"Oct 27, 2022",3834.69,3859.95,3803.79,3807.3,3807.3,4687320000
"Oct 26, 2022",3825.97,3886.15,3824.07,3830.6,3830.6,4817310000
"Oct 25, 2022",3799.44,3862.85,3799.44,3859.11,3859.11,4843120000
"Oct 24, 2022",3762.01,3810.74,3741.65,3797.34,3797.34,4747930000
"Oct 21, 2022",3657.1,3757.89,3647.42,3752.75,3752.75,5078020000
"Oct 20, 2022",3689.05,3736,3656.44,3665.78,3665.78,4496620000
"Oct 19, 2022",3703.11,3728.58,3666.51,3695.16,3695.16,4223800000
"Oct 18, 2022",3746.26,3762.79,3686.53,3719.98,3719.98,4483740000
"Oct 17, 2022",3638.65,3689.73,3638.65,3677.95,3677.95,4352780000
"Oct 14, 2022",3690.41,3712,3579.68,3583.07,3583.07,4243030000
"Oct 13, 2022",3520.37,3685.41,3491.58,3669.91,3669.91,5021680000
"Oct 12, 2022",3590.83,3608.34,3573.86,3577.03,3577.03,4006830000
"Oct 11, 2022",3595.86,3640.66,3568.45,3588.84,3588.84,4759030000
"Oct 10, 2022",3647.51,3652.17,3588.1,3612.39,3612.39,3834320000
"Oct 7, 2022",3706.74,3706.74,3620.73,3639.66,3639.66,4449660000
"Oct 6, 2022",3771.97,3797.93,3739.22,3744.52,3744.52,4252100000
"Oct 5, 2022",3753.25,3806.91,3722.66,3783.28,3783.28,4293180000
"Oct 4, 2022",3726.46,3791.92,3726.46,3790.93,3790.93,5146580000
"Oct 3, 2022",3609.78,3698.35,3604.93,3678.43,3678.43,4806680000
"Sep 30, 2022",3633.48,3671.44,3584.13,3585.62,3585.62,5645360000
"Sep 29, 2022",3687.01,3687.01,3610.4,3640.47,3640.47,4681810000
"Sep 28, 2022",3651.94,3736.74,3640.61,3719.04,3719.04,4684850000
"Sep 27, 2022",3686.44,3717.53,3623.29,3647.29,3647.29,4577740000
"Sep 26, 2022",3682.72,3715.67,3644.76,3655.04,3655.04,4886140000
"Sep 23, 2022",3727.14,3727.14,3647.47,3693.23,3693.23,5144270000
"Sep 22, 2022",3782.36,3790.9,3749.45,3757.99,3757.99,4284600000
"Sep 21, 2022",3871.4,3907.07,3789.49,3789.93,3789.93,4078330000
"Sep 20, 2022",3875.23,3876.01,3827.54,3855.93,3855.93,4058050000
"Sep 19, 2022",3849.91,3900.45,3838.5,3899.89,3899.89,3766850000
"Sep 16, 2022",3880.95,3880.95,3837.08,3873.33,3873.33,7954650000
"Sep 15, 2022",3932.41,3959.14,3888.28,3901.35,3901.35,4441830000
"Sep 14, 2022",3940.73,3961.94,3912.18,3946.01,3946.01,4293240000
"Sep 13, 2022",4037.12,4037.12,3921.28,3932.69,3932.69,4224550000
"Sep 12, 2022",4083.67,4119.28,4083.67,4110.41,4110.41,3814200000
"Sep 9, 2022",4022.94,4076.81,4022.94,4067.36,4067.36,3901940000
"Sep 8, 2022",3959.94,4010.5,3944.81,4006.18,4006.18,3966850000
"Sep 7, 2022",3909.43,3987.89,3906.03,3979.87,3979.87,3890320000
"Sep 6, 2022",3930.89,3942.55,3886.75,3908.19,3908.19,4127340000
"Sep 2, 2022",3994.66,4018.43,3906.21,3924.26,3924.26,3665850000
